"genes","logFC","logCPM","LR","PValue","FDR"
"ENSDARG00000079332",4.67356207824156,-0.304163050303451,40.430441636567,2.03741791482724e-10,6.22033391386828e-08
"ENSDARG00000093237",1.03046350509261,3.17820942287381,40.2972445063533,2.18116395971214e-10,6.59637481665018e-08
"ENSDARG00000098890",-1.62811201074224,2.09337310213449,40.2428276081385,2.24277232750989e-10,6.71930397224156e-08
"ENSDARG00000059054",1.33284810037317,6.32056262582702,40.0542928362608,2.47001325738546e-10,7.33159398074126e-08
"ENSDARG00000100515",0.71190554111365,5.53666318853653,39.5497113003722,3.19813703155944e-10,9.40575035052301e-08
"ENSDARG00000094678",1.77160587077193,1.84908456046054,39.4101884938526,3.43500016583629e-10,1.0010527301474e-07
"ENSDARG00000090526",1.57242605121362,3.8578226069286,39.1936535459423,3.8378570226284e-10,1.10838002319278e-07
"ENSDARG00000104324",2.53568843576667,0.566471034318586,39.0443326576985,4.14290039494994e-10,1.18579426750813e-07
"ENSDARG00000043243",1.42302613515973,2.86896398094976,38.9314189659077,4.38958552491776e-10,1.24528268294061e-07
"ENSDARG00000088589",2.77737993539756,2.35039391573446,38.347277233979,5.92106443554386e-10,1.66501370710728e-07
"ENSDARG00000062221",1.34088533225603,4.09553032294895,37.4543066348328,9.35798370328118e-10,2.60859898761813e-07
"ENSDARG00000092604",2.96635391974793,0.61087554742921,37.4326942701966,9.46225710610439e-10,2.61492737974473e-07
"ENSDARG00000095351",0.798399773680623,4.31562901259386,37.345367754742,9.89556398477417e-10,2.71129995435817e-07
"ENSDARG00000104129",0.979646638397461,2.71226679946343,37.2958569285603,1.01500005744094e-09,2.75744549503256e-07
"ENSDARG00000003203",1.68473279370524,5.3198252709334,37.2636734250209,1.0318894331873e-09,2.7797713915702e-07
"ENSDARG00000102758",1.79168611486255,2.26047971116804,37.2098345089723,1.06077466954083e-09,2.83377113178921e-07
"ENSDARG00000053476",1.03864676101364,2.73906875036214,36.2713315714679,1.71670655158791e-09,4.54813734911188e-07
"ENSDARG00000117109",1.145465487818,2.86050777804277,35.9899611961404,1.98336732305299e-09,5.21154149795982e-07
"ENSDARG00000076388",2.72551815445817,0.404302937133105,35.9662922728136,2.00760667592488e-09,5.2323453016361e-07
