gene_id	f1.expected_count	f2.expected_count	f3.expected_count	f4.expected_count	f5.expected_count	f6.expected_count
ENSDARG00000002609	804.00	1089.00	683.00	955.00	695.00	922.00
ENSDARG00000002613	504.00	460.00	303.00	477.00	496.00	489.00
ENSDARG00000002632	3817.00	4027.00	2913.00	4570.00	4050.00	4341.00
ENSDARG00000002634	132.00	163.00	128.00	183.00	156.00	184.00
ENSDARG00000002635	436.00	666.00	520.00	691.00	384.00	495.00
ENSDARG00000002642	406.00	491.00	360.00	586.00	382.00	495.00
ENSDARG00000002644	1633.00	1708.00	1504.00	2354.00	2029.00	2015.00
ENSDARG00000002656	535.00	1057.00	638.00	939.00	473.00	709.00
ENSDARG00000002659	2585.00	3030.00	2107.00	3294.00	2570.00	3100.00
ENSDARG00000002663	665.00	701.00	601.00	935.00	921.00	773.00
ENSDARG00000002666	68.00	69.00	61.00	62.00	64.00	63.00
ENSDARG00000002670	740.00	826.00	588.00	1088.00	885.00	829.00
ENSDARG00000002682	696.00	912.00	640.00	996.00	690.00	943.00
ENSDARG00000002685	1.00	0.00	0.00	2.00	0.00	3.00
ENSDARG00000002690	290.00	344.00	283.00	415.00	352.00	389.00
ENSDARG00000002696	14059.00	21551.00	16579.00	22289.00	13932.00	17415.00
ENSDARG00000002701	57.00	58.00	42.00	81.00	69.00	83.00
ENSDARG00000002707	0.00	2.00	4.00	3.00	3.00	2.00
ENSDARG00000002710	11343.04	13023.00	9930.00	17557.00	14232.00	13352.00
ENSDARG00000002720	456.00	468.00	400.00	608.00	559.00	518.00
ENSDARG00000002722	2.00	0.00	3.00	5.00	4.00	3.00
ENSDARG00000002728	16.00	15.00	8.00	24.00	11.00	14.00
ENSDARG00000002731	1793.00	2053.00	1523.00	2407.00	1717.00	2232.00
ENSDARG00000002732	546.00	550.00	413.00	663.00	747.00	648.00
ENSDARG00000002745	6606.00	6678.00	5746.00	10395.00	10574.00	7430.00
ENSDARG00000002748	298.00	371.00	312.00	463.00	302.00	344.00
ENSDARG00000002750	221.00	319.00	219.00	304.00	162.00	323.00
ENSDARG00000002754	205.00	191.00	192.00	258.00	283.00	206.00
ENSDARG00000002758	1302.00	1480.00	1116.00	2007.00	1573.00	1561.00
ENSDARG00000002760	45.00	51.00	42.00	73.00	41.00	65.00
ENSDARG00000002764	757.00	705.00	658.00	980.00	649.00	864.00
ENSDARG00000002768	411132.00	345248.00	287281.00	511346.00	664662.00	444624.00
ENSDARG00000002771	130.79	210.38	126.73	206.60	97.80	149.59
ENSDARG00000002779	78.00	83.00	94.00	142.00	101.00	88.00
ENSDARG00000002787	938.00	1231.00	891.00	1315.00	902.00	1176.00
ENSDARG00000002790	5481.00	6450.00	4959.00	7188.00	6248.00	6419.00
ENSDARG00000002791	10037.81	12594.61	9119.63	14826.13	11496.74	12140.22
ENSDARG00000002792	1225.00	1492.00	1131.00	1811.00	1357.00	1459.00
ENSDARG00000002795	337.00	442.00	348.00	515.00	320.00	398.00
ENSDARG00000002797	1.00	1.00	0.00	1.00	0.00	0.00
ENSDARG00000002798	240.00	271.00	189.00	331.00	268.00	259.00
ENSDARG00000002816	64.00	141.00	74.00	129.00	19.00	126.00
ENSDARG00000002826	141.00	160.00	114.00	175.00	178.00	186.00
