gene_id,f1.expected_count,f2.expected_count,f3.expected_count,f4.expected_count,f5.expected_count,f6.expected_count
ENSDARG00000003344,15,32,9,23,15,33
ENSDARG00000003373,351,406,341,456,475,393
ENSDARG00000003375,690,689,522,822,842,808
ENSDARG00000003380,1.28,31.54,24.49,441.06,4.76,25.72
ENSDARG00000003381,280,240,180,277,286,243
ENSDARG00000003382,658,740,534,981,819,753
ENSDARG00000003383,1127,1269,1101,1591,1447,1341
ENSDARG00000003395,117.49,145.53,107,185.12,128.55,131.53
ENSDARG00000003398,573,674,492,824,590,665
ENSDARG00000003399,135.24,140.88,100.73,159.4,195,154
ENSDARG00000003403,402,763,435,637,330,570
ENSDARG00000003411,230,277,211,304,229,269
ENSDARG00000003414,41,45,27,47,50,48
ENSDARG00000003420,205,209,174,250,224,194
ENSDARG00000003421,520,556,433,736,308,682
ENSDARG00000003429,3956.43,4287.09,3147.45,5050,3828.5,4428.72
ENSDARG00000003444,573,610,536,837,702,721
ENSDARG00000003446,399,436,297,506,301,469
ENSDARG00000003449,112,133,107,177,49,140
ENSDARG00000003462,59,63,48,87,45,81
ENSDARG00000003469,776,1203,890,1235,867,990
ENSDARG00000003475,89,102,83,142,168,126
ENSDARG00000003486,4128.54,4968,3817,5778,5047,5042
ENSDARG00000003487,1225,1433,1039,1520,1284,1441
ENSDARG00000003495,1418,2275,1583,2333,1401,1829
ENSDARG00000003512,867,1276,842,1267,868,1141
ENSDARG00000003517,373,412,302,458,410,453
ENSDARG00000003519,449,480,362,563,469,497
ENSDARG00000003520,563,657,484,765,586,753
ENSDARG00000003523,543,452,342,686,573,589
ENSDARG00000003526,2630,2265,1637,2608,3163,2715
ENSDARG00000003527,921.41,892.33,702.92,1246.29,1120.21,1072.63
ENSDARG00000003531,1493,1661,1172,1730,1498,1748
ENSDARG00000003533,143,124,81,177,173,136
ENSDARG00000003544,151.6,236.89,127.75,241.71,57.3,203.54
ENSDARG00000003553,3,5,7,2,5,6
ENSDARG00000003564,622.99,628.99,460.98,804.99,812.93,754.99
ENSDARG00000003570,4170,4546,3323,5303,4279,4694
ENSDARG00000003573,443,540,407,615,596,539
ENSDARG00000003576,313,366,282,407,304,368
ENSDARG00000003584,943.99,870,753.99,1317.94,1138,1093.98
ENSDARG00000003592,337,329,247,392,406,382
ENSDARG00000003599,85898,82048,63553,100614,105313,92937
ENSDARG00000003607,751,903,676,1054,822,956
ENSDARG00000003615,1782,1742,1323,2151,1572,1979
ENSDARG00000003616,626,801,573,943,622,749
ENSDARG00000003631,710,898,757,1196,647,916
ENSDARG00000003632,161,134,134,156,192,167
ENSDARG00000003635,468,443,347,571,493,580
ENSDARG00000003641,1538,1798,1378,2058,1607.74,1733
ENSDARG00000003642,323,344,283,377,374,326
ENSDARG00000003655,3705,4921,3575,5111,4102,4651
ENSDARG00000003675,544.05,495.18,365,577.05,695.22,637.05
ENSDARG00000003680,1007,1819,1171,1790,898,1463
ENSDARG00000003681,5513,6114,4916,7405,6733,6265
ENSDARG00000003684,370,389,270,463,402,453
ENSDARG00000003693,2370,2451,1902,3012,2785,2714
ENSDARG00000003695,11179,11252,9062,14391,12686,12758
ENSDARG00000003697,185,179,169,319,240,237
ENSDARG00000003699,545,665,471,729,556,659
ENSDARG00000003701,4,4,6,10,10,17
ENSDARG00000003705,2147,2779,2087,3136,2194,2617
ENSDARG00000003706,58,70,66,99,59,59
ENSDARG00000003732,114,124,95,156,152,131
ENSDARG00000003749,568,628,487,744,672,727
ENSDARG00000003750,1283.66,1174.36,859.7,1489.26,1286.15,1347.28
ENSDARG00000003751,603,749,495,842,645,736
ENSDARG00000003754,1650,1897,1425,2166,1633,2056
ENSDARG00000003757,515,440,377,617,622,563
ENSDARG00000003769,264,374,221,390,286,337
ENSDARG00000003776,817,1099,811,1218,758,1039
ENSDARG00000003779,688,1262,788,1148,668,979
ENSDARG00000003789,1448,2035,1390,2189,1501,1832
ENSDARG00000003795,12354,12606,9840,14818,15000,13492
ENSDARG00000003797,345,347,353,545,426,413.64
ENSDARG00000003803,42,60,37,64,21,44
ENSDARG00000003808,7837,7801,5055,7879,8553,8741
ENSDARG00000003811,1331.47,1626.57,1084.65,1881.72,1403.98,1664.5
ENSDARG00000003818,846,952,735,1214,929,1027
ENSDARG00000003820,1851,2463,2671,4285,3455,2318
ENSDARG00000003822,159,187,162,234,191,189
ENSDARG00000003827,234,232,172,264,310,286
ENSDARG00000003829,1082,1346,1019,1638,1153,1406
ENSDARG00000003835,4623,4681,3513,5243,4786,5508
ENSDARG00000003841,158,183,117,188,204,157
ENSDARG00000003845,560,725,534,799,653,677
ENSDARG00000003846,299,319,212,361,406,344
ENSDARG00000003854,1202,1230,1113,2163,1069,1408
ENSDARG00000003860,2868,2994,2126,3228,3170,3353
ENSDARG00000003865,71.46,83.24,68,100.72,75.46,107.24
ENSDARG00000003866,3389,3865,2875,4508,3886,4149
ENSDARG00000003867,58,77,71,120,49,77
ENSDARG00000003869,736,752,527,729,678,884
ENSDARG00000003872,686,945,668,939,816,868
ENSDARG00000003877,381,602,439.02,603,337,539
ENSDARG00000003899,104,100,71,113,145,111
ENSDARG00000003900,18,25,20,29,15,22
ENSDARG00000003902,7438,6916,6986,12340,13015,6480
ENSDARG00000003903,37,47,20,33,44,38
ENSDARG00000003904,91,101,59,97,152,102
ENSDARG00000003909,78,77,72,123,63,89
ENSDARG00000003910,813,1030,753,1172,773,974
ENSDARG00000003920,6741.42,7205.47,5241.77,8213.2,6923.58,7994.81
ENSDARG00000003925,28,32,25,38,44,36
